,Accession,Egg Description,Egg Name,Gene Size,Gene Start,Strand,Egg GOs,Egg EC,KEGG KO,KEGG Pathway,KEGG Module,KEGG Reaction,KEGG Reaction Class,Egg BRITE,KEGG TC,CAZy,BiGG Reaction,PFAMs
hypothetical protein_76,1379,Protein of unknown function (DUF1499),-,815,1429950,+,-,-,-,-,-,-,-,-,-,-,-,DUF1499
hypothetical protein_75,1380,Haem-degrading,-,539,1430902,+,-,-,-,-,-,-,-,-,-,-,-,Haem_degrading
hypothetical protein_8,1383,-,-,332,1432256,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_64,1385,Belongs to the UPF0337 (CsbD) family,-,224,1434625,-,-,-,-,-,-,-,-,-,-,-,-,CsbD
hypothetical protein_393,1386,palmitoyl-(protein) hydrolase activity,bioH,677,1435508,-,-,"2.1.1.197,3.1.1.85,6.3.3.3","ko:K01935,ko:K02169,ko:K02170","ko00780,ko01100,map00780,map01100","M00123,M00572,M00573,M00577","R03182,R09543,R09725","RC00003,RC00460,RC00461,RC00868","ko00000,ko00001,ko00002,ko01000",-,-,-,"Abhydrolase_6,LIP"
8-amino-7-oxononanoate synthase 2,1387,"Catalyzes the decarboxylative condensation of pimeloyl- acyl-carrier protein and L-alanine to produce 8-amino-7- oxononanoate (AON), acyl-carrier protein , and carbon dioxide",bioF,1169,1436169,-,-,2.3.1.47,ko:K00652,"ko00780,ko01100,map00780,map01100","M00123,M00573,M00577","R03210,R10124","RC00004,RC00039,RC02725","ko00000,ko00001,ko00002,ko01000,ko01007",-,-,-,Aminotran_1_2
Aminodeoxychorismate lyase,1390,"PFAM Aminotransferase, class IV",-,842,1438874,-,-,4.1.3.38,ko:K02619,"ko00790,map00790",-,R05553,"RC01843,RC02148","ko00000,ko00001,ko01000",-,-,-,Aminotran_4
Isochorismate synthase MenF,1391,Anthranilate synthase component I,-,1406,1439709,-,-,"2.6.1.85,4.1.3.27","ko:K01657,ko:K01665","ko00400,ko00405,ko00790,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map00790,map01100,map01110,map01130,map01230,map02024,map02025",M00023,"R00985,R00986,R01716","RC00010,RC01418,RC02148,RC02414","ko00000,ko00001,ko00002,ko01000",-,-,-,"Anth_synt_I_N,Chorismate_bind"
Peroxiredoxin,1397,"Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides",-,659,1444941,-,-,1.11.1.15,ko:K03386,"ko04214,map04214",-,-,-,"ko00000,ko00001,ko01000,ko04147",-,-,-,"1-cysPrx_C,AhpC-TSA"
hypothetical protein_394,1398,"Type II secretory pathway, component",-,821,1445868,-,-,-,-,-,-,-,-,-,-,-,-,"Secretin,Secretin_N"
hypothetical protein_395,1399,protein acetylation,-,482,1446641,-,-,-,-,-,-,-,-,-,-,-,-,-
putative amino acid permease YhdG,1400,Amino Acid,-,1442,1447517,+,-,-,ko:K03294,-,-,-,-,ko00000,2.A.3.2,-,-,AA_permease_2
hypothetical protein_631,1407,-,-,203,1457427,-,-,-,-,-,-,-,-,-,-,-,-,-
Putative transport protein YhhT,1412,Pfam:UPF0118,-,1109,1462453,+,-,-,-,-,-,-,-,-,-,-,-,AI-2E_transport
hypothetical protein_396,1416,PRC-barrel domain,-,578,1465885,+,-,-,-,-,-,-,-,-,-,-,-,PRC
Na(+)/H(+) antiporter NhaP,1417,PFAM sodium hydrogen exchanger,-,1235,1466942,+,-,-,ko:K03316,-,-,-,-,ko00000,2.A.36,-,-,Na_H_Exchanger
hypothetical protein_584,1425,-,-,194,1474284,+,-,-,-,-,-,-,-,-,-,-,-,-
(S)-ureidoglycine--glyoxylate transaminase,1430,2-aminoethylphosphonate-pyruvate transaminase activity,spt,311,1477476,+,-,"2.6.1.44,2.6.1.45,2.6.1.51",ko:K00830,"ko00250,ko00260,ko00630,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko04146,map00250,map00260,map00630,map00680,map01100,map01110,map01120,map01130,map01200,map04146","M00346,M00532","R00369,R00372,R00585,R00588","RC00006,RC00008,RC00018","ko00000,ko00001,ko00002,ko01000,ko01007",-,-,-,Aminotran_5
lipid kinase YegS,1431,PFAM Diacylglycerol kinase catalytic,-,920,1478294,+,-,-,-,-,-,-,-,-,-,-,-,DAGK_cat
hypothetical protein_585,1432,-,-,539,1479503,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_181,1434,-,-,746,1480911,+,-,-,-,-,-,-,-,-,-,-,-,-
putative alcohol dehydrogenase AdhA,1435,alcohol dehydrogenase,adhA,371,1481801,-,-,1.1.1.1,ko:K13953,"ko00010,ko00071,ko00350,ko00625,ko00626,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220",-,"R00623,R00754,R02124,R04880,R05233,R05234,R06917,R06927,R07105,R08281,R08306,R08310","RC00050,RC00087,RC00088,RC00099,RC00116,RC00649,RC01734,RC02273","ko00000,ko00001,ko01000",-,-,-,"ADH_N,ADH_zinc_N"
hypothetical protein_182,1436,Phasin protein,-,395,1482374,-,-,-,-,-,-,-,-,-,-,-,-,Phasin_2
Ktr system potassium uptake protein A,1439,-,-,125,1484915,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_183,1441,hemerythrin HHE cation binding domain,-,551,1485375,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_184,1443,COG2199 FOG GGDEF domain,-,1124,1487199,-,-,2.7.7.65,ko:K21019,"ko02025,map02025",-,-,-,"ko00000,ko00001,ko01000",-,-,-,GGDEF
hypothetical protein_185,1444,-,-,605,1488573,-,-,-,-,-,-,-,-,-,-,-,-,-
Cytochrome c biogenesis ATP-binding export protein CcmA,1447,"once thought to export heme, this seems not to be the case, but its exact role is uncertain. Responsible for energy coupling to the transport system",ccmA,617,1492202,+,-,3.6.3.41,ko:K02193,"ko02010,map02010",M00259,-,-,"ko00000,ko00001,ko00002,ko01000,ko02000",3.A.1.107,-,-,ABC_tran
hypothetical protein_152,1449,TIGRFAM Cytochrome c-type biogenesis protein CcmI,-,1223,1493504,-,-,-,ko:K02200,-,-,-,-,ko00000,-,-,-,"TPR_16,TPR_2"
Cytochrome c-type biogenesis protein CcmH,1450,subunit of a heme lyase,-,503,1494724,-,-,-,ko:K02200,-,-,-,-,ko00000,-,-,-,CcmH
hypothetical protein_153,1456,COG1651 Protein-disulfide isomerase,-,974,1499131,-,-,-,-,-,-,-,-,-,-,-,-,Thioredoxin_4
hypothetical protein_154,1458,Endonuclease Exonuclease phosphatase,-,1688,1501382,-,-,-,ko:K07004,-,-,-,-,ko00000,-,-,-,"Exo_endo_phos,LTD"
GTP pyrophosphokinase,1459,In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance,-,2213,1503183,-,-,2.7.6.5,ko:K00951,"ko00230,map00230",-,R00429,"RC00002,RC00078","ko00000,ko00001,ko01000",-,-,-,"ACT_4,HD_4,RelA_SpoT,TGS"
hypothetical protein_18,1460,Methyltransferase domain,-,539,1505638,+,-,-,-,-,-,-,-,-,-,-,-,"Methyltransf_23,Methyltransf_25"
Foldase protein PrsA_213,1463,peptidylprolyl isomerase,-,281,1507869,+,-,5.2.1.8,ko:K03769,-,-,-,-,"ko00000,ko01000,ko03110",-,-,-,Rotamase_3
hypothetical protein_105,1467,Acetyltransferase (GNAT) domain,-,632,1510775,-,-,-,-,-,-,-,-,-,-,-,-,Acetyltransf_10
hypothetical protein_106,1469,"Peptidoglycan-binding protein, CsiV",-,674,1515146,+,-,-,-,-,-,-,-,-,-,-,-,CsiV
Beta-hexosaminidase,1473,"Plays a role in peptidoglycan recycling by cleaving the terminal beta-1,4-linked N-acetylglucosamine (GlcNAc) from peptide-linked peptidoglycan fragments, giving rise to free GlcNAc, anhydro-N-acetylmuramic acid and anhydro-N-acetylmuramic acid-linked peptides",nagZ,1031,1518165,-,-,3.2.1.52,ko:K01207,"ko00520,ko00531,ko01100,ko01501,map00520,map00531,map01100,map01501",M00628,"R00022,R05963,R07809,R07810,R10831",RC00049,"ko00000,ko00001,ko00002,ko01000",-,-,-,Glyco_hydro_3
hypothetical protein_107,1474,-,-,758,1519490,-,-,-,-,-,-,-,-,-,-,-,-,-
Kynurenine formamidase,1477,"Catalyzes the hydrolysis of N-formyl-L-kynurenine to L- kynurenine, the second step in the kynurenine pathway of tryptophan degradation",kynB,662,1521657,+,"GO:0003674,GO:0003824,GO:0004061,GO:0006082,GO:0006520,GO:0006568,GO:0006569,GO:0006576,GO:0006586,GO:0006725,GO:0006766,GO:0006767,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009063,GO:0009072,GO:0009074,GO:0009308,GO:0009310,GO:0009987,GO:0016054,GO:0016787,GO:0016810,GO:0016811,GO:0019439,GO:0019441,GO:0019752,GO:0032787,GO:0034641,GO:0042180,GO:0042402,GO:0042430,GO:0042436,GO:0042537,GO:0043420,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044282,GO:0046218,GO:0046395,GO:0046483,GO:0046700,GO:0070189,GO:0071704,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606",3.5.1.9,ko:K07130,"ko00380,ko00630,ko01100,map00380,map00630,map01100",M00038,"R00988,R01959,R04911","RC00263,RC00323","ko00000,ko00001,ko00002,ko01000",-,-,-,Cyclase
hypothetical protein_427,1479,-,-,101,1523321,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_263,1491,Lactoylglutathione lyase and related lyases,-,392,1532480,-,-,-,-,-,-,-,-,-,-,-,-,Glyoxalase
"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",1495,Putative methyltransferase,-,1091,1535481,+,-,-,-,-,-,-,-,-,-,-,-,Methyltransf_31
hypothetical protein_262,1496,Esterase of the alpha-beta hydrolase superfamily,-,269,1536641,-,-,-,ko:K07001,-,-,-,-,ko00000,-,-,-,Patatin
hypothetical protein_82,1497,-,-,860,1538111,+,-,-,-,-,-,-,-,-,-,-,-,-
Lipid A export ATP-binding/permease protein MsbA,1498,ABC transporter transmembrane region,-,1811,1539061,-,-,-,ko:K06147,-,-,-,-,"ko00000,ko02000","3.A.1.106,3.A.1.109,3.A.1.21",-,-,"ABC_membrane,ABC_tran"
2-dehydropantoate 2-reductase,1500,Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid,-,938,1541815,+,-,1.1.1.169,ko:K00077,"ko00770,ko01100,ko01110,map00770,map01100,map01110",M00119,R02472,RC00726,"ko00000,ko00001,ko00002,ko01000",-,-,-,"ApbA,ApbA_C"
tRNA(Met) cytidine acetyltransferase TmcA,1501,"Catalyzes the formation of N(4)-acetylcytidine (ac(4)C) at the wobble position of tRNA(Met), by using acetyl-CoA as an acetyl donor and ATP (or GTP)",tmcA,2201,1542758,+,-,2.3.1.193,ko:K06957,-,-,-,-,"ko00000,ko01000,ko03016",-,-,-,"DUF1726,GNAT_acetyltr_2,Helicase_RecD,tRNA_bind_3"
putative signaling protein,1503,cyclic-guanylate-specific phosphodiesterase activity,-,314,1545773,-,-,-,-,-,-,-,-,-,-,-,-,"EAL,GAF_2,GGDEF,PAS,PAS_3,PAS_9,Response_reg"
Histidine N-alpha-methyltransferase,1504,Methyltransferase,-,1058,1546171,-,-,2.1.1.44,ko:K18911,"ko00340,map00340",-,R01169,"RC00003,RC02308","ko00000,ko00001,ko01000",-,-,-,Methyltransf_33
Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase,1505,Glutamine amidotransferase,egtC,776,1547269,+,-,-,-,-,-,-,-,-,-,-,-,GATase_4
Hercynine oxygenase,1506,methyltransferase,egtB,1166,1548050,+,-,-,-,-,-,-,-,-,-,-,-,"DinB_2,FGE-sulfatase"
Na(+)/H(+) antiporter NhaB,1509,Na( ) H( ) antiporter that extrudes sodium in exchange for external protons,nhaB,1592,1553122,+,"GO:0003674,GO:0005215,GO:0005451,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0006873,GO:0006885,GO:0008150,GO:0008324,GO:0009987,GO:0010035,GO:0010038,GO:0010226,GO:0015075,GO:0015077,GO:0015078,GO:0015081,GO:0015291,GO:0015297,GO:0015298,GO:0015299,GO:0015318,GO:0015385,GO:0015491,GO:0015672,GO:0016020,GO:0019725,GO:0022804,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030004,GO:0030641,GO:0034220,GO:0035725,GO:0042221,GO:0042592,GO:0044464,GO:0045851,GO:0046873,GO:0048878,GO:0050801,GO:0050896,GO:0051179,GO:0051234,GO:0051452,GO:0051453,GO:0055067,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071944,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0099516,GO:1902600",-,ko:K03314,-,-,-,-,"ko00000,ko02000",2.A.34.1,-,"iECP_1309.ECP_1229,iLF82_1304.LF82_1485,iNRG857_1313.NRG857_06055,iUTI89_1310.UTI89_C1372",NhaB
hypothetical protein_570,1511,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,-,380,1555671,-,-,-,-,-,-,-,-,-,-,-,-,Glyoxalase
Imidazolonepropionase,1512,Amidohydrolase family,hutI,1250,1556139,-,-,-,-,-,-,-,-,-,-,-,-,Amidohydro_3
Urocanate hydratase,1513,Catalyzes the conversion of urocanate to 4-imidazolone- 5-propionate,hutU,1706,1557405,-,-,-,-,-,-,-,-,-,-,-,-,"Urocanase,Urocanase_C,Urocanase_N"
8-oxoguanine deaminase,1514,Catalyzes the deimination of N-formimino-L-glutamate to ammonia and N-formyl-L-glutamate,hutF,1364,1559291,+,-,3.5.3.13,ko:K05603,"ko00340,map00340",-,R02286,RC00682,"ko00000,ko00001,ko01000",-,-,-,Amidohydro_1
hypothetical protein_571,1520,Belongs to the CDP-alcohol phosphatidyltransferase class-I family,-,605,1563756,+,-,-,-,-,-,-,-,-,-,-,-,CDP-OH_P_transf
hypothetical protein_572,1521,Lysylphosphatidylglycerol synthase TM region,-,1004,1564467,-,-,-,-,-,-,-,-,-,-,-,-,LPG_synthase_TM
hypothetical protein_573,1522,2OG-Fe(II) oxygenase,-,740,1565522,+,-,-,-,-,-,-,-,-,-,-,-,-
CTP:phosphoglutamine cytidylyltransferase,1523,MobA-like NTP transferase domain,-,746,1566264,+,-,-,-,-,-,-,-,-,-,-,-,NTP_transf_3
2-methylisocitrate lyase,1524,Phosphoenolpyruvate phosphomutase,-,1652,1567000,+,-,5.4.2.9,ko:K01841,"ko00440,ko01100,ko01120,ko01130,map00440,map01100,map01120,map01130",-,R00661,RC02792,"ko00000,ko00001,ko01000",-,-,-,"NTP_transf_3,PEP_mutase"
hypothetical protein_574,1525,PFAM thiamine pyrophosphate protein domain protein TPP-binding,-,1148,1568664,+,-,4.1.1.82,ko:K09459,"ko00440,ko01100,ko01120,ko01130,map00440,map01100,map01120,map01130",-,R04053,RC00506,"ko00000,ko00001,ko01000",-,-,-,"TPP_enzyme_C,TPP_enzyme_N"
2-aminoethylphosphonate--pyruvate transaminase,1526,Belongs to the class-V pyridoxal-phosphate-dependent aminotransferase family. PhnW subfamily,phnW,1037,1569826,+,-,2.6.1.37,ko:K03430,"ko00440,ko01100,ko01120,map00440,map01100,map01120",-,R04152,"RC00008,RC00062","ko00000,ko00001,ko01000,ko01007",-,-,-,Aminotran_5
Hopanoid C-3 methylase,1528,B12 binding domain,-,1520,1571662,+,-,-,-,-,-,-,-,-,-,-,-,"B12-binding,Radical_SAM"
hypothetical protein_575,1529,-,-,632,1573295,-,-,-,-,-,-,-,-,-,-,-,-,-
Methanethiol oxidase,1530,56kDa selenium binding protein (SBP56),-,1397,1573974,-,-,-,-,-,-,-,-,-,-,-,-,SBP56
Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,1531,2-oxoacid dehydrogenases acyltransferase (catalytic domain),-,1148,1575569,-,-,2.3.1.12,ko:K00627,"ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200",M00307,"R00209,R02569","RC00004,RC02742,RC02857","br01601,ko00000,ko00001,ko00002,ko01000",-,-,-,"2-oxoacid_dh,Biotin_lipoyl,E3_binding"
Pyruvate dehydrogenase E1 component subunit beta,1532,"Pyruvate 2-oxoglutarate dehydrogenase complex, dehydrogenase",-,980,1576714,-,-,1.2.4.1,"ko:K00162,ko:K21417","ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko04066,ko04922,ko05230,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200,map04066,map04922,map05230",M00307,"R00014,R00209,R01699,R03270","RC00004,RC00027,RC00627,RC02742,RC02744,RC02882","br01601,ko00000,ko00001,ko00002,ko01000",-,-,-,"Transket_pyr,Transketolase_C"
Pyruvate dehydrogenase E1 component subunit alpha,1533,1-deoxy-D-xylulose-5-phosphate synthase,-,1181,1577787,-,-,1.2.4.1,ko:K00161,"ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko04066,ko04922,ko05230,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200,map04066,map04922,map05230",M00307,"R00014,R00209,R01699,R03270","RC00004,RC00027,RC00627,RC02742,RC02744,RC02882","br01601,ko00000,ko00001,ko00002,ko01000",-,-,-,E1_dh
Protease HtpX _455,1534,Belongs to the peptidase M48B family,-,860,1579146,+,-,-,ko:K03799,-,M00743,-,-,"ko00000,ko00002,ko01000,ko01002",-,-,-,Peptidase_M48
hypothetical protein_454,1537,ribosome binding,MA20_18275,326,1584384,-,-,-,-,-,-,-,-,-,-,-,-,DUF883
3-oxoacyl-[acyl-carrier-protein] reductase FabG,1538,Short-chain dehydrogenase reductase sdr,fabG2,287,1584898,-,-,1.1.1.100,ko:K00059,"ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212","M00083,M00572","R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671","RC00029,RC00117","ko00000,ko00001,ko00002,ko01000,ko01004",-,-,-,adh_short_C2
hypothetical protein,1540,poly(R)-hydroxyalkanoic acid synthase,-,173,1585693,-,-,-,ko:K03821,"ko00650,map00650",-,R04254,RC00004,"ko00000,ko00001,ko01000",-,-,-,"PHBC_N,PhaC_N"
Sensor histidine kinase RcsC,1543,catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR,-,4970,1588627,+,-,-,-,-,-,-,-,-,-,-,-,"CheB_methylest,CheR,CheR_N,HATPase_c,HisKA,PAS_10,PAS_4,Response_reg"
hypothetical protein_632,1550,Virulence factor BrkB,-,977,1597107,-,-,-,ko:K07058,-,-,-,-,ko00000,-,-,-,Virul_fac_BrkB
hypothetical protein_121,1555,-,-,215,1601187,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_120,1556,-,-,266,1601590,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_119,1557,-,-,497,1601947,-,-,-,-,-,-,-,-,-,-,-,-,-
Translocation and assembly module subunit TamA,1559,Surface antigen variable number,-,1913,1605113,+,-,-,ko:K07278,-,-,-,-,"ko00000,ko02000",1.B.33.2.4,-,-,"Bac_surface_Ag,POTRA,POTRA_TamA_1"
Translocation and assembly module subunit TamB,1560,"TamB, inner membrane protein subunit of TAM complex",-,3965,1607029,+,-,-,ko:K09800,-,-,-,-,"ko00000,ko02000",-,-,-,TamB
Proton/glutamate-aspartate symporter,1562,Belongs to the dicarboxylate amino acid cation symporter (DAACS) (TC 2.A.23) family,-,1265,1611622,-,-,-,-,-,-,-,-,-,-,-,-,SDF
hypothetical protein_452,1563,AMP binding,-,1331,1613115,+,-,-,ko:K06149,-,-,-,-,ko00000,-,-,-,Usp
hypothetical protein_118,1571,Diguanylate cyclase,-,2459,1620981,+,-,-,-,-,-,-,-,-,-,-,-,"EAL,GGDEF,MASE3,PAS,PAS_9"
hypothetical protein_117,1572,C-C_Bond_Lyase of the TIM-Barrel fold,-,938,1623738,-,-,-,-,-,-,-,-,-,-,-,-,C-C_Bond_Lyase
Cysteine protease StiP,1573,PELOTA RNA binding domain,-,1112,1624700,-,-,-,-,-,-,-,-,-,-,-,-,"PELOTA_1,PRTase_1"
hypothetical protein_116,1574,phosphatase activity,-,728,1625809,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_115,1575,TRSP domain C terminus to PRTase_2,-,1136,1626534,-,-,-,-,-,-,-,-,-,-,-,-,"PRTase_2,TRSP"
General stress protein 16U,1576,Stress protein,-,575,1627807,-,-,-,ko:K05795,-,-,-,-,ko00000,-,-,-,TerD
hypothetical protein_377,1578,PFAM Tellurite resistance,-,452,1629686,-,-,-,ko:K05793,-,-,-,-,ko00000,-,-,-,TerB
hypothetical protein_378,1579,stress protein,-,1193,1630169,-,-,-,ko:K05792,-,-,-,-,ko00000,-,-,-,TerD
Stress response protein SCP2,1580,stress protein,-,584,1631399,-,-,-,ko:K05791,-,-,-,-,ko00000,-,-,-,TerD
Guanine deaminase,1584,"CMP dCMP deaminase, zinc-binding",-,470,1635507,-,-,3.5.4.3,ko:K01487,"ko00230,ko01100,map00230,map01100",-,R01676,RC00204,"ko00000,ko00001,ko01000",-,-,-,dCMP_cyt_deam_1
Adenosyl-chloride synthase,1590,S-adenosyl-l-methionine hydroxide adenosyltransferase,-,731,1645156,-,-,-,ko:K22205,-,-,-,-,"ko00000,ko01000",-,-,-,SAM_adeno_trans
Protein translocase subunit SecE,1631,Essential subunit of the Sec protein translocation channel SecYEG. Clamps together the 2 halves of SecY. May contact the channel plug during translocation,secE,377,1676889,-,-,-,ko:K03073,"ko02024,ko03060,ko03070,map02024,map03060,map03070",M00335,-,-,"ko00000,ko00001,ko00002,ko02044","3.A.5.1,3.A.5.2",-,-,SecE
hypothetical protein_357,1639,Acetyltransferase (GNAT) domain,-,1202,1681756,+,-,-,-,-,-,-,-,-,-,-,-,Acetyltransf_6
Asparagine synthetase [glutamine-hydrolyzing] 1,1640,Asparagine synthase,-,1841,1682953,-,-,6.3.5.4,ko:K01953,"ko00250,ko01100,ko01110,map00250,map01100,map01110",-,R00578,RC00010,"ko00000,ko00001,ko01000,ko01002",-,-,-,"Asn_synthase,GATase_7"
"2-phytyl-1,4-beta-naphthoquinone methyltransferase, chloroplastic",1643,3-demethylubiquinone-9 3-O-methyltransferase activity,-,731,1687138,-,-,-,-,-,-,-,-,-,-,-,-,"Methyltransf_11,Methyltransf_25,Methyltransf_31"
hypothetical protein_355,1678,PFAM Polysaccharide deacetylase,-,959,1726861,-,-,-,-,-,-,-,-,-,-,-,-,Polysacc_deac_1
hypothetical protein_354,1679,Catalyzes the activation of phenylacetic acid (PA) to phenylacetyl-CoA (PA-CoA),-,1385,1727828,-,-,6.2.1.30,ko:K01912,"ko00360,ko01120,ko05111,map00360,map01120,map05111",-,R02539,"RC00004,RC00014","ko00000,ko00001,ko01000",-,-,-,AMP-binding
D-inositol-3-phosphate glycosyltransferase_353,1680,Glycosyl transferase,-,1169,1729210,-,-,-,-,-,-,-,-,-,-,-,-,"Glyco_trans_1_4,Glyco_transf_4,Glycos_transf_1"
D-inositol-3-phosphate glycosyltransferase_352,1683,"PFAM Glycosyl transferase, group 1",-,1175,1733592,-,-,-,-,-,-,-,-,-,-,-,-,"Glyco_trans_1_4,Glyco_transf_4,Glycos_transf_1"
hypothetical protein_351,1684,eight transmembrane protein EpsH,-,1622,1734808,-,-,-,-,-,-,-,-,-,-,-,-,"DUF3485,Exosortase_EpsH"
hypothetical protein_350,1685,"Sugar transferase, PEP-CTERM EpsH1 system associated",-,1334,1736427,-,-,-,-,-,-,-,-,-,-,-,-,"Glyco_trans_1_4,Glyco_trans_4_4"
hypothetical protein_470,1690,AAA domain,-,899,1742494,-,-,-,-,-,-,-,-,-,-,-,-,"AAA_31,CbiA"
hypothetical protein_469,1691,Polysaccharide chain length determinant protein,-,1556,1743415,-,-,-,-,-,-,-,-,-,-,-,-,"GNVR,Wzz"
Beta-barrel assembly-enhancing protease_126,1693,PEP-CTERM system TPR-repeat lipoprotein,-,2807,1745964,-,-,-,-,-,-,-,-,-,-,-,-,"TPR_16,TPR_19,TPR_4,TPR_8"
Adaptive-response sensory-kinase SasA_339,1695,Histidine kinase,-,2108,1750190,-,-,-,-,-,-,-,-,-,-,-,-,"GAF_2,HATPase_c"
hypothetical protein_554,1699,Acetyltransferase (GNAT) domain,-,713,1756111,+,-,-,-,-,-,-,-,-,-,-,-,Acetyltransf_5
hypothetical protein_555,1702,Acetyltransferase (GNAT) domain,-,800,1758376,-,-,-,-,-,-,-,-,-,-,-,-,Acetyltransf_5
hypothetical protein_222,1706,UBA THIF-type NAD FAD binding,-,2003,1762002,+,-,-,-,-,-,-,-,-,-,-,-,"Nitroreductase,ThiF"
hypothetical protein_556,1710,-,-,233,1768053,+,-,-,-,-,-,-,-,-,-,-,-,-
FKBP-type peptidyl-prolyl cis-trans isomerase SlyD,1715,Peptidyl-prolyl cis-trans,-,572,1772026,+,-,5.2.1.8,ko:K03775,-,-,-,-,"ko00000,ko01000,ko03110",-,-,-,FKBP_C
hypothetical protein_164,1716,cytochrome,-,347,1772728,-,-,-,-,-,-,-,-,-,-,-,-,"Cytochrom_C,Cytochrome_CBB3"
DnaA regulatory inactivator Hda,1721,Belongs to the DnaA family. HdA subfamily,-,734,1775068,-,-,-,ko:K10763,-,-,-,-,"ko00000,ko03032",-,-,-,Bac_DnaA
hypothetical protein_557,1722,Uncharacterized protein conserved in bacteria (DUF2066),-,1136,1776006,-,-,-,ko:K09938,-,-,-,-,ko00000,-,-,-,DUF2066
hypothetical protein_558,1729,Peptidase family M28,-,3326,1782295,+,-,-,-,-,-,-,-,-,-,-,-,"PDZ_2,Peptidase_M1,Peptidase_M28"
Tol-Pal system protein TolB,1730,beta Propeller,-,1076,1785637,+,-,-,-,-,-,-,-,-,-,-,-,PD40
hypothetical protein_165,1736,oligopeptide transporter,-,1967,1790130,+,-,-,-,-,-,-,-,-,-,-,-,OPT
Flavohemoprotein,1738,"Is involved in NO detoxification in an aerobic process, termed nitric oxide dioxygenase (NOD) reaction that utilizes O(2) and NAD(P)H to convert NO to nitrate, which protects the bacterium from various noxious nitrogen compounds. Therefore, plays a central role in the inducible response to nitrosative stress",hmp,1172,1792549,-,-,1.14.12.17,ko:K05916,"ko05132,map05132",-,-,-,"ko00000,ko00001,ko01000",-,-,-,"FAD_binding_6,Fer2,Globin,NAD_binding_1"
Homoserine O-succinyltransferase,1744,"Transfers a succinyl group from succinyl-CoA to L- homoserine, forming succinyl-L-homoserine",metXS,1163,1799592,-,-,2.3.1.31,ko:K00641,"ko00270,ko01100,ko01130,map00270,map01100,map01130",-,R01776,"RC00004,RC00041","ko00000,ko00001,ko01000",-,-,-,Abhydrolase_1
hypothetical protein_276,1746,-,-,1046,1801396,+,-,-,-,-,-,-,-,-,-,-,-,DUF2157
Cytochrome c551 peroxidase,1748,cytochrome c peroxidase,-,998,1803330,-,-,1.11.1.5,ko:K00428,-,-,-,-,"ko00000,ko01000",-,-,-,"CCP_MauG,Cytochrom_C"
FK506-binding protein,1749,FKBP-type peptidyl-prolyl cis-trans,-,356,1804665,+,-,-,-,-,-,-,-,-,-,-,-,FKBP_C
